,Name,Sex,Year,Last_Status,VT_BW
80375,Poodle,3,1.0,0,3.8
80376,Poodle,3,1.0,0,3.6
80377,Maltese,1,7.0,0,4.0
80378,Maltese,1,7.0,0,3.9
80379,Maltese,1,7.0,0,3.75
80380,Maltese,1,7.0,0,4.1
80381,Golden Retriever,2,3.0,0,26.0
80382,Maltese,2,14.0,2,2.0
80383,Maltese,2,14.0,2,2.0
80384,Maltese,2,14.0,2,1.9
80385,Maltese,2,14.0,2,1.89
80386,Maltese,2,14.0,2,2.0
80387,Maltese,2,14.0,2,2.1
80388,Maltese,2,14.0,2,2.0
80389,Maltese,2,14.0,2,2.0
80390,Maltese,2,14.0,2,2.0
80391,Maltese,2,14.0,2,2.1
80392,Maltese,2,14.0,2,2.1
80393,Maltese,2,15.0,2,2.2
80394,Maltese,2,15.0,2,2.14
80395,Maltese,2,15.0,2,2.1
80396,Maltese,2,15.0,2,2.0
80397,Maltese,2,15.0,2,2.09
80398,Maltese,2,15.0,2,2.06
80399,Maltese,2,15.0,2,2.04
80400,Maltese,2,15.0,2,2.0
80401,Maltese,2,15.0,2,2.05
80402,Maltese,2,15.0,2,2.0
80403,Maltese,2,15.0,2,2.0
80404,Maltese,2,15.0,2,2.0
80405,Maltese,2,15.0,2,2.1
80406,Maltese,2,15.0,2,2.1
80407,Maltese,2,15.0,2,2.2
80408,Maltese,2,15.0,2,2.2
80409,Maltese,2,15.0,2,2.3
80410,Maltese,2,15.0,2,2.3
80411,Maltese,2,15.0,2,2.2
80412,Maltese,2,15.0,2,2.2
80413,Maltese,2,15.0,2,2.3
80414,Maltese,2,15.0,2,2.2
80415,Maltese,2,15.0,2,2.2
80416,Maltese,2,15.0,2,2.2
80417,Maltese,2,15.0,2,2.18
80418,Maltese,2,15.0,2,2.2
80419,Maltese,2,15.0,2,2.4
80420,Maltese,2,15.0,2,2.2
80421,Maltese,2,15.0,2,2.2
80422,Maltese,2,15.0,2,2.2
80423,Maltese,2,15.0,2,2.3
80424,Maltese,2,15.0,2,2.2
80425,Maltese,2,15.0,2,2.2
80426,Maltese,2,15.0,2,2.5
80427,Maltese,2,15.0,2,2.3
80428,Maltese,2,15.0,2,2.2
80429,Maltese,2,15.0,2,2.2
80430,Maltese,2,15.0,2,2.1
80431,Maltese,2,15.0,2,2.2
80432,Maltese,2,15.0,2,2.1
80433,Maltese,2,15.0,2,2.1
80434,Maltese,2,15.0,2,2.1
80435,Maltese,2,15.0,2,1.99
80436,Maltese,2,15.0,2,2.0
80437,Maltese,2,15.0,2,2.0
80438,Maltese,2,15.0,2,2.0
80439,Maltese,2,15.0,2,2.0
80440,Maltese,2,15.0,2,2.0
80441,Maltese,2,15.0,2,2.1
80442,Maltese,2,15.0,2,2.1
80443,Maltese,2,15.0,2,1.96
80444,Maltese,2,15.0,2,1.81
80445,Maltese,2,15.0,2,2.0
